,LEAP_ID,EmbeddingMethod,Silhouette,ARI_with_stamp,NMI_with_stamp,ARI_with_miso_hne,NMI_with_miso_hne,ARI_with_miso,NMI_with_miso
93,LEAP-021B,uni,0.013932667,0.05050627821324431,0.12522946913081123,0.158052303368589,0.3226543087916885,0.1596317520944539,0.3226543087916885
94,LEAP-021B,miso_hne,0.06285385,0.04382936040152385,0.15367444732025673,,0.6170502688757781,0.42233403187398966,0.6170502688757781
95,LEAP-021B,miso,-0.016216738,0.06607630672802994,0.18549930811410223,,,,
96,LEAP-022B,uni,0.03191458,0.0331583571833565,0.13212267105168915,0.25380539398207647,0.40621264123462447,0.23912483810313379,0.40621264123462447
97,LEAP-022B,miso_hne,0.071429856,0.024528665389483954,0.14886839235697885,,0.6799740713424737,0.5355929986267727,0.6799740713424737
98,LEAP-022B,miso,0.046451606,0.028581570682871215,0.19080331916777774,,,,
99,LEAP-023A,uni,0.040646978,0.1884085354687536,0.3191785897761687,0.3096956649771517,0.4283836655508742,0.30515737237285956,0.4283836655508742
100,LEAP-023A,miso_hne,0.095948264,0.16872579932641094,0.35044956080307105,,0.6784925264794356,0.5788717738635107,0.6784925264794356
101,LEAP-023A,miso,0.05472496,0.21383495787847936,0.4191709950893385,,,,
102,LEAP-023B,uni,0.047585554,0.015720770195406367,0.17678290765145288,0.1583154761234088,0.3605521669040623,0.18265303625034227,0.3605521669040623
103,LEAP-023B,miso_hne,0.050298445,0.042121174499346846,0.1916556148217897,,0.5452227828825927,0.4031910151074916,0.5452227828825927
104,LEAP-023B,miso,0.022601092,0.06474183087221853,0.27526069887339194,,,,
105,LEAP-024A,uni,0.047953222,0.0764937560209611,0.2772384438110109,0.171174679005242,0.39515813075932765,0.24252859606715338,0.39515813075932765
106,LEAP-024A,miso_hne,0.095145956,0.02898522890319963,0.22930207424267846,,0.6259139056111689,0.4106229331502803,0.6259139056111689
107,LEAP-024A,miso,0.009187005,0.03896306929327305,0.2808929888835831,,,,
108,LEAP-024B,uni,0.029627964,0.06716207443080009,0.1990840465059751,0.15441258948976977,0.2934561890964994,0.17166167241169134,0.2934561890964994
109,LEAP-024B,miso_hne,0.04813285,0.05493860535135576,0.21151232824483113,,0.46539404731594375,0.2797378867555746,0.46539404731594375
110,LEAP-024B,miso,0.021885788,0.08256321289796938,0.3044851955686534,,,,
111,LEAP-026B,uni,0.031786308,0.08123925591611514,0.17889896614847403,0.1452992271573802,0.26837124226915,0.13231763096775812,0.26837124226915
112,LEAP-026B,miso_hne,0.05124046,0.13741380336457534,0.2559249084318875,,0.5602097931141451,0.37886328713098766,0.5602097931141451
113,LEAP-026B,miso,0.014821445,0.1627347624832896,0.3305780840302469,,,,
114,LEAP-027A,uni,0.038781304,0.2587467155806924,0.333820753408861,0.27367674256508806,0.4368187409855398,0.2763215870484689,0.4368187409855398
115,LEAP-027A,miso_hne,0.08441511,0.20540382485418326,0.3942025345602449,,0.6456684902952378,0.4377747913498036,0.6456684902952378
116,LEAP-027A,miso,0.06809196,0.21708307467273666,0.43485593508284015,,,,
117,LEAP-027B,uni,0.03436735,0.11542988549116467,0.24105031356439077,0.2052655167211991,0.3376323465589775,0.17736372274183718,0.3376323465589775
118,LEAP-027B,miso_hne,0.0681813,0.137323159784449,0.3125052343258705,,0.5617933568124249,0.3370611157044802,0.5617933568124249
119,LEAP-027B,miso,0.050954603,0.17122742793816265,0.3970760895527769,,,,
120,LEAP-028B,uni,0.03667198,0.09144072791821972,0.2000056824289063,0.13374704457473718,0.30533097122066716,0.141811647089492,0.30533097122066716
121,LEAP-028B,miso_hne,0.05074902,0.11531806863255566,0.26178574977753316,,0.581995940838946,0.35541683804769314,0.581995940838946
122,LEAP-028B,miso,0.032920346,0.19501707870190285,0.3920524288722411,,,,
123,LEAP-029A,uni,0.03949452,0.05450186314715622,0.21678647217938798,0.2248026974995458,0.4408870875068233,0.24596404922767523,0.4408870875068233
124,LEAP-029A,miso_hne,0.07869941,0.04441137094854078,0.22884269601703947,,0.6225956546804555,0.4939987814255816,0.6225956546804555
125,LEAP-029A,miso,0.03837547,0.06471582790747538,0.2787214628684271,,,,
126,LEAP-029B,uni,0.032472767,0.0564237744505157,0.14752813012651284,0.18249167376131037,0.25719522943420897,0.13805269622323432,0.25719522943420897
127,LEAP-029B,miso_hne,0.07256491,0.06338047730112573,0.2110259664054488,,0.39441693101430403,0.22248515940256822,0.39441693101430403
128,LEAP-029B,miso,0.029928293,0.1500526500178873,0.35804800311096613,,,,
129,LEAP-031A,uni,0.045222603,0.011392998394692808,0.11233590745215762,0.32419145620057055,0.5325361638890997,0.4027736283567937,0.5325361638890997
130,LEAP-031A,miso_hne,0.08819613,0.01981414730815132,0.12922730479508626,,0.6660322101719625,0.49614628401043365,0.6660322101719625
131,LEAP-031A,miso,0.022083567,0.03913589436256796,0.18575626779149637,,,,
132,LEAP-031B,uni,0.012466878,0.029442419395320597,0.1488885736783794,0.15232108104765782,0.2603125629691295,0.14353111758521306,0.2603125629691295
133,LEAP-031B,miso_hne,0.045217868,0.025384894996929135,0.1855792622347569,,0.589183351260885,0.41739715423621043,0.589183351260885
134,LEAP-031B,miso,-0.0036995537,0.024187813591263867,0.21483639125809723,,,,
135,LEAP-032B,uni,0.04089326,0.12564629610263098,0.256751052332991,0.24387039391263707,0.4223053967379501,0.2288425574004314,0.4223053967379501
136,LEAP-032B,miso_hne,0.0679619,0.11856939613364065,0.29539577669329165,,0.6398172400469156,0.4558654085875708,0.6398172400469156
137,LEAP-032B,miso,0.05550668,0.17546295874482287,0.40140390802544124,,,,
138,LEAP-033A,uni,0.041028876,0.013816845969893746,0.08681189166882095,0.13540285442544758,0.3004362048540344,0.1475924735279014,0.3004362048540344
